EID,Set_Name,Node1_Z
276,South_Vs0-Min0,-34.859901428222656
277,South_Vs0-Min0,-35.8565788269043
278,South_Vs0-Min0,-36.85325622558594
279,South_Vs0-Min0,-37.84993362426758
280,South_Vs0-Min0,-38.84661102294922
281,South_Vs0-Min0,-39.84328842163086
282,South_Vs0-Min0,-40.34328842163086
283,South_Vs0-Min0,-40.84328842163086
284,South_Vs0-Min0,-41.34328842163086
285,South_Vs0-Min0,-41.84328842163086
286,South_Vs0-Min0,-42.8399658203125
287,South_Vs0-Min0,-43.417022705078125
288,South_Vs0-Min0,-43.99407958984375
289,South_Vs0-Min0,-45.331138610839844
290,South_Vs0-Min0,-46.66819763183594
291,South_Vs0-Min0,-48.00525665283203
292,South_Vs0-Min0,-49.342315673828125
293,South_Vs0-Min0,-50.67937469482422
294,South_Vs0-Min0,-52.01643371582031
295,South_Vs0-Min0,-52.698490142822266
296,South_Vs0-Min0,-53.380550384521484
297,South_Vs0-Min0,-54.06260681152344
298,South_Vs0-Min0,-54.744667053222656
299,South_Vs0-Min0,-55.42672348022461
300,South_Vs0-Min0,-56.10878372192383
301,South_Vs0-Min0,-56.79084014892578
302,South_Vs0-Min0,-57.472900390625
303,South_Vs0-Min0,-58.03995895385742
304,South_Vs0-Min0,-58.607017517089844
305,South_Vs0-Min0,-59.174076080322266
306,South_Vs0-Min0,-59.74113464355469
307,South_Vs0-Min0,-60.30819320678711
308,South_Vs0-Min0,-60.87525177001953
309,South_Vs0-Min0,-62.23230743408203
310,South_Vs0-Min0,-63.5893669128418
311,South_Vs0-Min0,-64.94642639160156
312,South_Vs0-Min0,-66.30348205566406
313,South_Vs0-Min0,-67.51554107666016
314,South_Vs0-Min0,-68.72760009765625
315,South_Vs0-Min0,-70.80465698242188
316,South_Vs0-Min0,-72.88172149658203
317,South_Vs0-Min0,-74.95877838134766
318,South_Vs0-Min0,-77.03583526611328
319,South_Vs0-Min0,-79.19728088378906
320,South_Vs0-Min0,-81.35873413085938
321,South_Vs0-Min0,-83.52017974853516
322,South_Vs0-Min0,-85.68163299560547
323,South_Vs0-Min0,-87.84307861328125
324,South_Vs0-Min0,-90.00453186035156
325,South_Vs10-Min1,-0.34594249725341797
326,South_Vs10-Min1,-0.6918849945068359
327,South_Vs10-Min1,-1.037827491760254
