NID,Set_Name,X,Y,Z
324913,South_Vs0-Min1,1772.0196533203125,-1699,0
332386,South_Vs0-Min1,1772.0196533203125,-1699,-83.52017974853516
332621,South_Vs0-Min0,1782.0196533203125,-1699,0
340094,South_Vs0-Min0,1782.0196533203125,-1699,-83.52017974853516
340329,South_Vs10-Min1,1792.0196533203125,-1699,0
346110,South_Vs10-Min1,1792.0196533203125,-1699,-83.52017974853516
346345,South_Vs10-Min0,1802.0196533203125,-1699,0
352126,South_Vs10-Min0,1802.0196533203125,-1699,-83.52017974853516
